 ,CODIGO,NOMBRE,PRECIO MERCADO LIBRE,PRECIO MERCADO,VENTA ELEVAPARTES,ESTADO,NOTIFICACION ENVIADA,ADVERTENCIA STOCK,MINIMO STOCK,ENTRADA,SALIDA,STOCK,marzo 2023,abril 2023,mayo 2023,junio 2023,julio 2023,agosto 2023,septiembre 2023,octubre 2023,noviembre 2023,diciembre 2023,enero 2024,febrero 2024,marzo 2024,abril 2024,mayo 2024,junio 2024,julio 2024,agosto 2024,septiembre 2024,octubre 2024,noviembre 2024,diciembre 2024,enero 2025,febrero 2025,marzo 2025,abril 2025,mayo 2025,junio 2025,julio 2025,agosto 2025,septiembre 2025,octubre 2025,noviembre 2025,diciembre 2025
23,IMP3S37R,Display 3D 37mm ,,"$80,00","$89,47",OK,SI,0,0,100,65,35,"$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$240,00","$0,00","$1.200,00","$320,00","$1.625,00","$640,00","$80,00","$80,00","$0,00","$160,00","$480,00","$160,00","$80,00","$0,00","$80,00"
24,EXP51FB,EXPANSION 51FB,,"$50,00","$428,34",OK,SI,0,0,5,1,4,"$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$450,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00"
,TOTAL VENTAS A LA FECHA DESDE 08/03/2023 A 31/12/2025,,,,,,,,,Ventas Totales,"$388.349,00",Venta Total,"$21.355,00","$5.619,00","$8.350,00","$10.840,00","$6.070,00","$7.280,00","$7.170,00","$10.640,00","$17.390,00","$23.715,00","$8.225,00","$12.078,00","$7.850,00","$10.180,00","$11.770,00","$25.625,00","$8.730,00","$9.755,00","$9.432,00","$13.135,00","$10.885,00","$11.790,00","$5.230,00","$24.399,00","$10.225,00","$10.480,00","$9.245,00","$8.430,00","$8.565,00","$10.325,00","$9.925,00","$12.890,00","$8.145,00","$4.940,00"
,,,,,,,,,,Comision T Wilmen,"$7.613,66",Comision por Venta,"$427,10","$112,38","$167,00","$216,80","$121,40","$145,60","$143,40","$212,80","$347,80","$474,30","$164,50","$241,56","$157,00","$203,60","$235,40","$512,50","$174,60","$195,10","$188,64","$262,70","$217,70","$235,80","$104,60","$487,98","$204,50","$209,60","$184,90","$168,60","$171,30","$206,50","$198,50","$257,80","$162,90","$98,80"
,,,,,,,,,,Gastos Operacion T,"$38.761,69",Gastos Operativos,"$913,35","$392,38","$413,21","$5.317,94","$1.120,82","$390,83","$377,95","$583,67","$2.288,96","$406,92","$590,26","$3.555,92","$434,21","$455,51","$462,63","$463,82","$13.067,91","$482,45","$460,65","$487,39","$499,43","$467,05","$463,89","$465,46","$479,84","$477,90","$509,67","$502,87","$491,91","$468,63","$487,94","$493,74","$286,59",
,,,,,,,,,,Utilidad Bruta T,"$142.197,04",Utilidad Bruta,"$7.531,84","$1.900,03","$2.954,15","$3.929,14","$2.303,89","$2.600,98","$2.558,72","$3.766,41","$5.971,11","$8.387,05","$2.940,28","$4.374,70","$2.916,29","$3.761,68","$4.314,65","$9.200,95","$3.295,78","$3.773,60","$3.535,43","$4.954,55","$4.088,41","$5.016,34","$2.104,07","$9.994,15","$4.091,58","$4.014,94","$3.405,36","$3.055,39","$3.415,27","$4.130,50","$3.845,12","$4.953,74","$3.191,36","$1.919,59"
,,,,,,,,,,Utilidad Neta T,"$95.821,69",Utilidad Neta ,"$6.618,49","$1.507,65","$2.540,94","-$1.388,80","$1.183,07","$2.210,15","$2.180,77","$3.182,74","$3.682,15","$7.980,13","$2.350,02","$818,78","$2.482,08","$3.306,17","$3.852,02","$8.737,13","-$9.772,12","$3.291,15","$3.074,78","$4.467,16","$3.588,98","$4.549,29","$1.640,18","$9.528,69","$3.611,74","$3.537,04","$2.895,69","$2.552,52","$2.923,36","$3.661,87","$3.357,18","$4.460,00","$2.904,77","$1.919,59"
,,,,,,,,,,Reinversion,"$158.657,17",,,,,,"$4.053,50",,,,"$13.953,50",,,"$41.407,00",,,,,,,"$68.850,00",,,,,,,"$30.393,17",,,,,,,,
,,,,0,,,,,,% T,"24,67%",%,"30,99%","26,83%","30,43%","-12,81%","19,49%","30,36%","30,42%","0,00%","21,17%","33,65%","28,57%","6,78%","31,62%","32,48%","32,73%","34,10%","-111,94%","33,74%","32,60%","34,01%","32,97%","38,59%","31,36%","39,05%","35,32%","33,75%","31,32%","30,28%","34,13%","35,47%","33,83%","34,60%","35,66%","38,86%"
,,,,,,,,,,Venta - Gastos Oper,"$190.930,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCTOS VENDIDOS DESDE 25/12/2025 A 31/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas 25/12/2025,Ventas 26/12/2025,Ventas 27/12/2025,,Ventas 28/12/2025,ANTES DE AYER 29/12/2025,,,,,AYER 30/12/2025,HOY 31/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,75%","8,97%",,,,,
#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"291,6666667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10000,,100%,,,,,,,,"$12.527,39",,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
